nome,cpf,idade,data,endereco,bairro,estado
Helena Cardoso,853.***.***-39,52.0,1972-05-29,"pátio alexandre teixeira, 243",Desconhecido,Desconhecido
Luigi Nunes,593.***.***-24,52.0,1973-06-17,"via clara da rosa, 928",Desconhecido,Desconhecido
Srta. Raquel Da Costa,278.***.***-09,60.0,1965-05-07,"estação ribeiro, 46",Desconhecido,Desconhecido
Sra. Ana Vitória Oliveira,120.***.***-17,62.0,1963-11-01,"sítio de cavalcanti, 97",Desconhecido,Desconhecido
Luiza Campos,974.***.***-03,53.0,1972-01-13,"condomínio de rodrigues, 52",Desconhecido,Desconhecido
Lucca Da Paz,526.***.***-95,73.0,1952-04-14,"rodovia vieira, 63",Desconhecido,Desconhecido
Nathan Da Rosa,907.***.***-25,33.0,1992-11-05,"recanto de da conceição, 1",Desconhecido,Desconhecido
Lívia Silveira,804.***.***-85,62.0,1962-11-22,"setor de azevedo, 375",Desconhecido,Desconhecido
Isabel Cavalcanti,492.***.***-04,56.0,1969-05-10,"ladeira pietra cunha, 13",Desconhecido,Desconhecido
Rafael Nunes,285.***.***-76,39.0,1985-08-28,"vereda davi lucca barbosa, 35",Desconhecido,Desconhecido
Elisa Fogaça,572.***.***-92,97.0,1928-12-13,"rodovia ana júlia araújo, 68",Desconhecido,Desconhecido
Agatha Ramos,948.***.***-85,25.0,2000-12-03,"distrito de barros, 41",Desconhecido,Desconhecido
Kamilly Rocha,946.***.***-48,61.0,1964-09-19,"feira campos, 17",Desconhecido,Desconhecido
Antônio Das Neves,435.***.***-82,41.0,1983-07-31,"avenida vitor hugo cardoso, 34",Desconhecido,Desconhecido
Luiz Gustavo Alves,198.***.***-10,47.0,1978-07-08,"rodovia de souza, 63",Desconhecido,Desconhecido
Emanuella Fernandes,097.***.***-96,88.0,1936-07-21,"residencial ian da paz, 6",Desconhecido,Desconhecido
Srta. Ana Beatriz Farias,431.***.***-39,64.0,1961-08-07,"ladeira de da paz, 98",Desconhecido,Desconhecido
Yago Monteiro,865.***.***-00,45.0,1979-06-22,"ladeira pereira, 21",Desconhecido,Desconhecido
Yasmin Gonçalves,017.***.***-14,77.0,1947-09-26,"área barros, 46",Desconhecido,Desconhecido
Bruna Nascimento,132.***.***-52,36.0,1989-04-13,"vereda luiz felipe costa, 70",Desconhecido,Desconhecido
Davi Luiz Nogueira,873.***.***-50,99.0,1926-12-20,"vila sales, 97",Desconhecido,Desconhecido
Ian Monteiro,324.***.***-91,26.0,1999-12-11,"favela alana ribeiro, 318",Desconhecido,Desconhecido
Srta. Helena Silva,905.***.***-01,37.0,1988-11-14,"parque freitas, 82",Desconhecido,Desconhecido
Bárbara Novaes,038.***.***-15,89.0,1935-05-24,"trecho bryan da cunha, 1",Desconhecido,Desconhecido
Sr. Pedro Lucas Costela,534.***.***-00,31.0,1993-08-24,esplanada moreira,Desconhecido,Desconhecido
Rafael Jesus,673.***.***-80,24.0,2001-08-16,"campo de barros, 16",Desconhecido,Desconhecido
Sra. Alícia Caldeira,051.***.***-70,91.0,1934-12-04,"distrito esther campos, 264",Desconhecido,Desconhecido
Danilo Martins,760.***.***-39,100.0,1925-03-30,"largo pires, 78",Desconhecido,Desconhecido
Sr. Gabriel Da Rosa,530.***.***-53,51.0,1974-09-10,campo isabelly freitas,Desconhecido,Desconhecido
Augusto Teixeira,412.***.***-16,71.0,1954-11-15,favela maria novaes,Desconhecido,Desconhecido
Ana Julia Da Rosa,630.***.***-65,44.0,1981-10-10,"trevo moraes, 5",Desconhecido,Desconhecido
Lucca Barbosa,836.***.***-77,99.0,1926-06-12,"rua mendes, 337",Desconhecido,Desconhecido
Amanda Da Costa,268.***.***-29,25.0,2000-11-20,"lagoa cardoso, 1",Desconhecido,Desconhecido
Dr. Francisco Cardoso,430.***.***-50,97.0,1927-10-30,"lago maitê campos, 31",Desconhecido,Desconhecido
Lorena Farias,268.***.***-82,94.0,1931-04-17,"residencial barbosa, 44",Desconhecido,Desconhecido
Anthony Da Costa,935.***.***-97,37.0,1988-02-13,"recanto de rocha, 68",Desconhecido,Desconhecido
Cauã Rodrigues,107.***.***-87,99.0,1926-02-11,"vale gustavo henrique alves, 50",Desconhecido,Desconhecido
Anthony Barbosa,631.***.***-00,88.0,1937-08-19,vila farias,Desconhecido,Desconhecido
Ana Julia Almeida,179.***.***-09,24.0,2001-07-20,"fazenda de porto, 3",Desconhecido,Desconhecido
Milena Barros,314.***.***-51,75.0,1950-08-04,"setor miguel pires, 3",Desconhecido,Desconhecido
Murilo Gomes,759.***.***-93,100.0,1924-05-22,morro de castro,Desconhecido,Desconhecido
Daniel Barbosa,812.***.***-98,30.0,1995-10-05,"praça ferreira, 764",Desconhecido,Desconhecido
Dr. Samuel Cardoso,039.***.***-96,48.0,1977-03-20,"vereda cauê novaes, 14",Desconhecido,Desconhecido
Ana Laura Sales,863.***.***-22,79.0,1945-11-24,"fazenda de pinto, 42",Desconhecido,Desconhecido
Mariana Cunha,492.***.***-25,82.0,1942-07-24,"loteamento luiz felipe teixeira, 87",Desconhecido,Desconhecido
Sr. João Guilherme Cavalcanti,347.***.***-70,39.0,1985-09-30,"quadra emanuella da conceição, 29",Desconhecido,Desconhecido
Kamilly Rocha,365.***.***-10,64.0,1960-10-29,"rodovia danilo costa, 17",Desconhecido,Desconhecido
Gabriel Nunes,940.***.***-04,56.0,1968-11-21,vila stephany lima,Desconhecido,Desconhecido
Rafael Correia,579.***.***-05,73.0,1952-01-03,"morro de cardoso, 47",Desconhecido,Desconhecido
Ana Lívia Barbosa,925.***.***-60,63.0,1961-05-30,lagoa sarah azevedo,Desconhecido,Desconhecido
Maitê Teixeira,694.***.***-39,92.0,1933-05-11,"loteamento oliveira, 29",Desconhecido,Desconhecido
Carlos Eduardo Santos,937.***.***-37,70.0,1955-03-29,"largo nascimento, 97",Desconhecido,Desconhecido
Enzo Gabriel Araújo,349.***.***-96,72.0,1953-09-15,Endereço inválido,Desconhecido,Desconhecido
Breno Moreira,184.***.***-49,41.0,1984-03-23,"aeroporto de das neves, 7",Desconhecido,Desconhecido
Julia Lopes,106.***.***-31,48.0,1977-02-13,"conjunto de cardoso, 5",Desconhecido,Desconhecido
André Lima,645.***.***-70,81.0,1944-11-06,viaduto cardoso,Desconhecido,Desconhecido
João Gabriel Barbosa,190.***.***-67,56.0,1969-02-23,fazenda de barros,Desconhecido,Desconhecido
,438.***.***-56,23.0,2002-04-13,colônia maria vitória moura,Desconhecido,Desconhecido
João Felipe Oliveira,830.***.***-00,44.0,1981-10-18,avenida de cardoso,Desconhecido,Desconhecido
Samuel Vieira,218.***.***-53,41.0,1984-07-02,"lagoa leandro caldeira, 1",Desconhecido,Desconhecido
Lucca Ferreira,237.***.***-19,87.0,1938-03-30,"esplanada de das neves, 5",Desconhecido,Desconhecido
Samuel Castro,582.***.***-70,71.0,1954-02-04,"praia eloah da mata, 95",Desconhecido,Desconhecido
Maria Vitória Teixeira,426.***.***-25,63.0,1962-12-16,"praia carvalho, 7",Desconhecido,Desconhecido
Maria Fernanda Farias,907.***.***-20,24.0,2001-07-18,"área de correia, 44",Desconhecido,Desconhecido
Fernanda Sales,879.***.***-32,72.0,1953-02-05,"vale lorenzo almeida, 80",Desconhecido,Desconhecido
Srta. Eduarda Nogueira,602.***.***-07,67.0,1958-01-13,chácara isadora das neves,Desconhecido,Desconhecido
Maitê Ferreira,016.***.***-99,66.0,1958-04-24,estação cunha,Desconhecido,Desconhecido
Catarina Pires,079.***.***-11,48.0,1977-01-28,"loteamento de lima, 1",Desconhecido,Desconhecido
Manuela Da Rocha,839.***.***-57,75.0,1949-05-21,"alameda de gonçalves, 79",Desconhecido,Desconhecido
Nina Moura,604.***.***-25,47.0,1977-07-23,"quadra bernardo ferreira, 85",Desconhecido,Desconhecido
Pedro Henrique Vieira,526.***.***-03,44.0,1981-08-14,"rodovia alícia dias, 58",Desconhecido,Desconhecido
Ana Clara Cunha,862.***.***-02,38.0,1987-04-09,"rua de cavalcanti, 8",Desconhecido,Desconhecido
Pietra Santos,508.***.***-67,96.0,1929-06-14,"esplanada de silva, 1",Desconhecido,Desconhecido
Sr. Theo Da Conceição,284.***.***-14,27.0,1998-10-04,"viaduto de freitas, 12",Desconhecido,Desconhecido
Vinicius Da Costa,023.***.***-16,67.0,1958-06-03,"recanto valentina pinto, 52",Desconhecido,Desconhecido
Pedro Henrique Cunha,519.***.***-93,60.0,1965-06-03,"passarela de santos, 501",Desconhecido,Desconhecido
Davi Nogueira,564.***.***-11,76.0,1949-12-14,"morro lucca da rocha, 40",Desconhecido,Desconhecido
Luiz Fernando Da Paz,409.***.***-11,81.0,1943-04-30,"praça de da paz, 5",Desconhecido,Desconhecido
Srta. Letícia Rocha,137.***.***-32,78.0,1947-12-01,"fazenda joão felipe souza, 78",Desconhecido,Desconhecido
João Nogueira,367.***.***-10,92.0,1933-02-22,"rodovia cauê monteiro, 50",Desconhecido,Desconhecido
João Gabriel Cardoso,962.***.***-34,55.0,1970-07-13,"área de ferreira, 20",Desconhecido,Desconhecido
Ryan Ribeiro,409.***.***-48,97.0,1928-12-18,"núcleo almeida, 41",Desconhecido,Desconhecido
Olivia Das Neves,314.***.***-55,24.0,2001-01-27,"lagoa de vieira, 25",Desconhecido,Desconhecido
Sr. Luiz Miguel Pinto,942.***.***-76,57.0,1968-04-17,"conjunto da luz, 6",Desconhecido,Desconhecido
Elisa Teixeira,217.***.***-73,81.0,1944-05-07,"ladeira de rodrigues, 58",Desconhecido,Desconhecido
Pedro Miguel Das Neves,523.***.***-03,61.0,1964-12-15,"jardim de nascimento, 7",Desconhecido,Desconhecido
Maria Luiza Azevedo,064.***.***-47,77.0,1947-04-29,"quadra de da cruz, 42",Desconhecido,Desconhecido
Lorenzo Silva,642.***.***-13,49.0,1976-05-09,"conjunto de da cruz, 1",Desconhecido,Desconhecido
Bianca Souza,673.***.***-40,98.0,1926-05-25,"colônia francisco campos, 7",Desconhecido,Desconhecido
Vitor Azevedo,643.***.***-20,72.0,1953-11-01,largo de barbosa,Desconhecido,Desconhecido
Enzo Gabriel Lima,187.***.***-94,58.0,1967-01-28,aeroporto rezende,Desconhecido,Desconhecido
Eduarda Cunha,093.***.***-32,61.0,1964-09-17,"campo de pinto, 72",Desconhecido,Desconhecido
Sra. Nicole Da Rocha,367.***.***-03,81.0,1944-10-10,"setor de ferreira, 742",Desconhecido,Desconhecido
Ana Clara Santos,430.***.***-04,37.0,1988-04-15,"ladeira de sales, 15",Desconhecido,Desconhecido
Enzo Gabriel Castro,694.***.***-65,98.0,1927-07-11,ladeira de teixeira,Desconhecido,Desconhecido
Nicole Ferreira,701.***.***-22,29.0,1996-02-11,"aeroporto duarte, 9",Desconhecido,Desconhecido
Erick Sales,498.***.***-48,39.0,1986-09-13,"trecho de martins, 51",Desconhecido,Desconhecido
Anthony Barros,742.***.***-07,43.0,1981-10-24,"vila alexia viana, 87",Desconhecido,Desconhecido
Renan Da Rocha,986.***.***-10,54.0,1971-03-08,"morro melo, 463",Desconhecido,Desconhecido
Marcela Santos,843.***.***-42,25.0,1999-12-23,"residencial de aragão, 65",Desconhecido,Desconhecido
Carolina Melo,970.***.***-05,41.0,1984-06-06,"vereda kamilly da rosa, 80",Desconhecido,Desconhecido
Lavínia Rezende,946.***.***-70,46.0,1979-08-19,"morro davi luiz correia, 38",Desconhecido,Desconhecido
Srta. Julia Porto,502.***.***-61,76.0,1948-07-21,"distrito ana laura aragão, 90",Desconhecido,Desconhecido
Alana Cardoso,572.***.***-41,34.0,1991-04-14,"favela gonçalves, 32",Desconhecido,Desconhecido
Davi Lucas Cardoso,805.***.***-83,30.0,1995-11-15,"viela da paz, 92",Desconhecido,Desconhecido
Raul Santos,315.***.***-03,21.0,2004-09-11,"loteamento emanuelly sales, 135",Desconhecido,Desconhecido
Igor Melo,261.***.***-17,47.0,1978-02-03,"favela oliveira, 67",Desconhecido,Desconhecido
Joaquim Da Costa,274.***.***-56,78.0,1947-08-10,"condomínio campos, 38",Desconhecido,Desconhecido
João Felipe Farias,936.***.***-01,29.0,1996-01-11,"estação milena silva, 549",Desconhecido,Desconhecido
Manuela Almeida,647.***.***-30,76.0,1949-01-27,"feira alice ramos, 3",Desconhecido,Desconhecido
Ryan Rocha,248.***.***-51,65.0,1959-10-25,"passarela nogueira, 8",Desconhecido,Desconhecido
Luna Da Conceição,935.***.***-91,97.0,1928-02-19,"campo campos, 82",Desconhecido,Desconhecido
Manuela Silva,591.***.***-73,20.0,2005-09-01,"jardim beatriz farias, 11",Desconhecido,Desconhecido
Maria Vitória Das Neves,761.***.***-34,97.0,1928-01-05,lagoa cavalcanti,Desconhecido,Desconhecido
Marcela Cunha,904.***.***-32,47.0,1978-06-17,"rua sales, 4",Desconhecido,Desconhecido
Bryan Souza,593.***.***-00,67.0,1958-03-05,"viaduto thales costela, 23",Desconhecido,Desconhecido
Kevin Cavalcanti,658.***.***-01,49.0,1976-01-29,"distrito maria moraes, 9",Desconhecido,Desconhecido
Sr. João Gabriel Martins,794.***.***-85,76.0,1949-06-14,"esplanada de moura, 95",Desconhecido,Desconhecido
Gabriela Da Mata,746.***.***-90,69.0,1956-06-16,"viaduto de peixoto, 16",Desconhecido,Desconhecido
Srta. Júlia Fernandes,650.***.***-98,50.0,1975-11-19,"condomínio leandro da mota, 20",Desconhecido,Desconhecido
Bárbara Silveira,386.***.***-04,41.0,1983-12-25,trevo carvalho,Desconhecido,Desconhecido
Vinicius Jesus,549.***.***-91,91.0,1934-12-08,morro de duarte,Desconhecido,Desconhecido
Srta. Alice Pires,536.***.***-56,43.0,1982-07-08,"praia ana carolina correia, 11",Desconhecido,Desconhecido
Lara Ferreira,698.***.***-75,73.0,1951-10-23,"rodovia de fogaça, 96",Desconhecido,Desconhecido
Felipe Freitas,863.***.***-01,99.0,1925-04-27,"rua duarte, 85",Desconhecido,Desconhecido
Maysa Pires,852.***.***-11,70.0,1955-10-08,"sítio mariana almeida, 86",Desconhecido,Desconhecido
Letícia Da Mata,308.***.***-31,49.0,1976-08-04,"aeroporto da paz, 54",Desconhecido,Desconhecido
Luigi Cunha,623.***.***-34,93.0,1932-01-24,"praia nascimento, 541",Desconhecido,Desconhecido
Lucas Gabriel Gomes,120.***.***-40,21.0,2004-02-23,"distrito de cardoso, 24",Desconhecido,Desconhecido
Emanuelly Costela,152.***.***-97,47.0,1977-10-21,"vale de vieira, 67",Desconhecido,Desconhecido
Calebe Nascimento,631.***.***-87,86.0,1939-02-25,"trecho brenda ferreira, 25",Desconhecido,Desconhecido
Juan Pires,139.***.***-46,77.0,1948-03-12,"avenida de santos, 89",Desconhecido,Desconhecido
Lívia Costa,582.***.***-50,83.0,1942-10-18,"loteamento oliveira, 12",Desconhecido,Desconhecido
Davi Lucas Nunes,679.***.***-03,22.0,2003-01-07,"vila viana, 68",Desconhecido,Desconhecido
Dr. Lucca Oliveira,806.***.***-75,90.0,1934-06-24,"passarela jesus, 34",Desconhecido,Desconhecido
Eduardo Monteiro,037.***.***-65,63.0,1962-11-09,viaduto caldeira,Desconhecido,Desconhecido
Diogo Moraes,571.***.***-52,48.0,1977-01-12,"sítio aragão, 73",Desconhecido,Desconhecido
Felipe Freitas,657.***.***-57,20.0,2005-12-08,área gabriela nascimento,Desconhecido,Desconhecido
Ryan Peixoto,830.***.***-98,28.0,1996-08-25,"estrada agatha correia, 79",Desconhecido,Desconhecido
Otávio Pires,526.***.***-01,27.0,1998-07-16,"pátio ribeiro, 33",Desconhecido,Desconhecido
Thiago Moreira,023.***.***-03,62.0,1963-01-11,"residencial rebeca da paz, 43",Desconhecido,Desconhecido
Pietro Lopes,428.***.***-19,62.0,1962-04-24,"aeroporto moura, 81",Desconhecido,Desconhecido
Gabriela Gomes,317.***.***-50,44.0,1981-04-13,"parque mariane araújo, 1",Desconhecido,Desconhecido
João Miguel Viana,183.***.***-77,24.0,2000-05-27,"estrada de carvalho, 309",Desconhecido,Desconhecido
Sr. Luiz Henrique Nunes,031.***.***-77,77.0,1948-03-17,"via da cunha, 11",Desconhecido,Desconhecido
Srta. Ana Sophia Viana,937.***.***-68,30.0,1995-02-18,"rodovia agatha cavalcanti, 27",Desconhecido,Desconhecido
Sr. Marcelo Aragão,418.***.***-40,87.0,1938-04-06,praça raul pires,Desconhecido,Desconhecido
Enzo Gabriel Da Mota,018.***.***-24,31.0,1993-09-22,vila farias,Desconhecido,Desconhecido
Benjamin Da Rosa,195.***.***-86,100.0,1924-07-29,"núcleo maria luiza novaes, 100",Desconhecido,Desconhecido
Ana Rezende,316.***.***-64,70.0,1955-10-15,"esplanada de da cruz, 73",Desconhecido,Desconhecido
Dr. Thomas Dias,267.***.***-03,46.0,1979-01-13,"jardim ana carolina da mota, 6",Desconhecido,Desconhecido
Breno Ribeiro,803.***.***-78,40.0,1985-10-05,"vereda de costela, 27",Desconhecido,Desconhecido
Lucas Gabriel Novaes,856.***.***-11,43.0,1982-09-04,"trevo manuela jesus, 927",Desconhecido,Desconhecido
Vicente Rodrigues,328.***.***-79,87.0,1938-12-18,"chácara cardoso, 14",Desconhecido,Desconhecido
João Lucas Vieira,985.***.***-05,40.0,1985-10-18,"praça de oliveira, 35",Desconhecido,Desconhecido
Dr. Luiz Henrique Freitas,951.***.***-88,49.0,1976-11-07,"residencial luigi duarte, 6",Desconhecido,Desconhecido
Dra. Luiza Da Conceição,189.***.***-33,97.0,1927-04-29,"núcleo de ferreira, 77",Desconhecido,Desconhecido
Benjamin Cavalcanti,317.***.***-41,27.0,1997-11-30,"área de fernandes, 37",Desconhecido,Desconhecido
Murilo Mendes,653.***.***-17,79.0,1946-04-20,"loteamento porto, 4",Desconhecido,Desconhecido
Dr. Renan Rezende,609.***.***-38,67.0,1958-12-16,"área de ribeiro, 688",Desconhecido,Desconhecido
Maysa Porto,081.***.***-84,70.0,1955-09-11,"pátio carlos eduardo azevedo, 76",Desconhecido,Desconhecido
Pedro Lucas Pereira,873.***.***-35,85.0,1940-01-09,"quadra almeida, 83",Desconhecido,Desconhecido
Isadora Nogueira,480.***.***-05,51.0,1974-01-09,"feira almeida, 72",Desconhecido,Desconhecido
Gabriel Ramos,591.***.***-05,77.0,1947-08-23,"viaduto de freitas, 46",Desconhecido,Desconhecido
Yago Ferreira,531.***.***-00,88.0,1936-05-30,"ladeira agatha almeida, 27",Desconhecido,Desconhecido
Samuel Da Mata,521.***.***-11,22.0,2002-11-30,"residencial cavalcanti, 50",Desconhecido,Desconhecido
Sophie Pinto,317.***.***-50,96.0,1929-07-19,"colônia bryan costela, 404",Desconhecido,Desconhecido
Dr. Rafael Souza,436.***.***-07,46.0,1979-02-03,"rodovia de moreira, 6",Desconhecido,Desconhecido
Vitor Hugo Lima,450.***.***-80,86.0,1938-07-30,"esplanada oliveira, 654",Desconhecido,Desconhecido
Dr. Bernardo Da Cruz,230.***.***-50,22.0,2003-03-03,"rodovia thomas santos, 48",Desconhecido,Desconhecido
Caio Da Cunha,926.***.***-00,95.0,1930-09-14,"vila milena porto, 70",Desconhecido,Desconhecido
Stephany Duarte,642.***.***-46,98.0,1927-03-22,"lagoa rebeca novaes, 77",Desconhecido,Desconhecido
Kevin Da Conceição,074.***.***-94,65.0,1960-04-18,"núcleo sales, 59",Desconhecido,Desconhecido
Srta. Giovanna Aragão,142.***.***-17,78.0,1947-07-08,"feira sales, 82",Desconhecido,Desconhecido
Pedro Henrique Pinto,653.***.***-37,27.0,1998-09-20,"colônia de azevedo, 22",Desconhecido,Desconhecido
Joaquim Da Cruz,532.***.***-41,32.0,1993-12-14,alameda fernandes,Desconhecido,Desconhecido
Leandro Souza,560.***.***-86,31.0,1994-10-09,"estrada de castro, 671",Desconhecido,Desconhecido
Beatriz Aragão,805.***.***-04,53.0,1971-07-29,"trecho calebe ferreira, 902",Desconhecido,Desconhecido
Carlos Eduardo Teixeira,546.***.***-98,49.0,1975-07-26,"chácara joão gabriel correia, 983",Desconhecido,Desconhecido
Joana Da Rocha,915.***.***-33,47.0,1978-03-05,"lago maria cecília dias, 93",Desconhecido,Desconhecido
Lucas Gabriel Da Luz,203.***.***-70,20.0,2005-12-13,via de santos,Desconhecido,Desconhecido
Davi Lucas Da Costa,502.***.***-52,19.0,2005-11-29,"viela mariana ferreira, 867",Desconhecido,Desconhecido
Henrique Da Rocha,713.***.***-44,35.0,1990-09-08,"via caio carvalho, 11",Desconhecido,Desconhecido
Lorena Fernandes,574.***.***-93,93.0,1931-05-23,residencial joão guilherme campos,Desconhecido,Desconhecido
Nathan Nogueira,837.***.***-56,45.0,1980-03-22,"vereda jesus, 420",Desconhecido,Desconhecido
Srta. Maysa Rezende,726.***.***-55,83.0,1942-09-08,"setor de da mata, 49",Desconhecido,Desconhecido
Erick Santos,680.***.***-67,44.0,1980-06-22,"rua lavínia da rosa, 9",Desconhecido,Desconhecido
Agatha Sales,983.***.***-30,93.0,1932-09-01,"setor de santos, 49",Desconhecido,Desconhecido
Ana Beatriz Moreira,637.***.***-66,65.0,1960-11-19,"parque thomas nogueira, 74",Desconhecido,Desconhecido
Antônio Da Rocha,943.***.***-23,27.0,1998-02-28,"viela de mendes, 45",Desconhecido,Desconhecido
Dra. Vitória Viana,813.***.***-24,84.0,1941-03-23,"loteamento barbosa, 28",Desconhecido,Desconhecido
Enzo Monteiro,534.***.***-04,44.0,1980-06-25,"trevo barros, 87",Desconhecido,Desconhecido
Bernardo Santos,045.***.***-29,20.0,2005-09-09,"lagoa isabella viana, 20",Desconhecido,Desconhecido
Guilherme Cunha,237.***.***-02,26.0,1999-03-31,"fazenda rezende, 619",Desconhecido,Desconhecido
Raul Rodrigues,193.***.***-33,49.0,1976-06-16,praça souza,Desconhecido,Desconhecido
Pietra Lima,591.***.***-39,32.0,1993-03-28,"praça almeida, 81",Desconhecido,Desconhecido
Camila Barbosa,560.***.***-59,39.0,1986-07-11,"vila martins, 7",Desconhecido,Desconhecido
Kaique Almeida,078.***.***-02,69.0,1955-09-27,"passarela de pires, 6",Desconhecido,Desconhecido
Antônio Porto,015.***.***-60,89.0,1936-06-19,"aeroporto lavínia porto, 29",Desconhecido,Desconhecido
Alana Rezende,216.***.***-60,71.0,1953-05-23,"parque de aragão, 76",Desconhecido,Desconhecido
Vitor Almeida,134.***.***-00,44.0,1981-08-06,"vale ramos, 60",Desconhecido,Desconhecido
Isabelly Da Mota,709.***.***-48,77.0,1948-05-19,loteamento nascimento,Desconhecido,Desconhecido
Isis Oliveira,893.***.***-87,78.0,1946-09-28,"esplanada joão guilherme barbosa, 39",Desconhecido,Desconhecido
Carolina Gomes,845.***.***-28,32.0,1992-05-29,parque nascimento,Desconhecido,Desconhecido
Srta. Natália Rodrigues,548.***.***-88,77.0,1948-03-04,"largo alves, 654",Desconhecido,Desconhecido
Fernando Ramos,032.***.***-38,52.0,1973-01-05,"trevo de azevedo, 36",Desconhecido,Desconhecido
Gabriela Da Cruz,109.***.***-77,28.0,1997-06-11,"área de barros, 4",Desconhecido,Desconhecido
Noah Cavalcanti,273.***.***-60,84.0,1941-02-17,"setor arthur barros, 58",Desconhecido,Desconhecido
Clara Moreira,079.***.***-05,51.0,1974-03-30,"largo gomes, 85",Desconhecido,Desconhecido
Laura Araújo,134.***.***-25,55.0,1970-03-16,"praia agatha cardoso, 1",Desconhecido,Desconhecido
Dr. Luiz Otávio Sales,472.***.***-60,79.0,1946-07-10,"via novaes, 81",Desconhecido,Desconhecido
Emilly Da Mata,839.***.***-83,90.0,1935-10-11,"pátio castro, 51",Desconhecido,Desconhecido
Kevin Rodrigues,086.***.***-50,55.0,1970-09-05,"campo lima, 42",Desconhecido,Desconhecido
Davi Pereira,209.***.***-89,61.0,1963-09-23,"esplanada rafael viana, 38",Desconhecido,Desconhecido
Thomas Silva,891.***.***-89,21.0,2004-03-06,"travessa beatriz fogaça, 47",Desconhecido,Desconhecido
Ana Lívia Da Cruz,135.***.***-84,87.0,1938-09-06,"praça correia, 3",Desconhecido,Desconhecido
Sr. Vicente Silveira,318.***.***-57,61.0,1964-11-06,"viela maria cecília viana, 44",Desconhecido,Desconhecido
